|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
PC907          C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            330.833   102.999 270 Y
PC915          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            450.850   404.622 270 Y
PC917          C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            450.850   406.527 270 Y
PC923          C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        437.388   362.534 180 Y
PC924          C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        437.515   360.324 180 Y
PC926          C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        437.388   370.916 180 Y
PC927          C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        437.515   368.706 180 Y
PC945          C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        437.388   354.076 180 Y
PC946          C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        437.446   351.790 180 Y
PC948          C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        437.685   385.510 180 Y
PC950          C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        437.509   387.707 180 Y
PC952          C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            341.554   362.892 180 Y
PC956          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   360.934 180 Y
PC967          C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        437.388   379.324 180 Y
PC968          C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        437.515   377.114 180 Y
PC991          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.407   402.443 180 Y
PC992          C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.407   381.996 180 Y
PC993          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            344.272   405.611 0   Y
PC994          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.961   410.193 180 Y
PC995          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            344.348   366.241 0   Y
PC996          C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            346.812   402.440 180 Y
PC997          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.760   389.786 0   Y
PC998          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            339.827   378.864 0   Y
PC999          C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.661   362.888 0   Y
PC1000         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.042   418.203 180 Y
PC1003         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.890   389.790 180 Y
PC1004         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            347.218   389.870 180 Y
PC1005         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.056   418.064 0   Y
PC1006         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.582   413.492 0   Y
PC1007         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.056   410.190 0   Y
PC1008         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.141   418.206 0   Y
PC1009         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            347.193   405.615 180 Y
PC1010         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.582   366.248 0   Y
PC1011         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.788   394.591 180 Y
PC1012         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.373   378.694 180 Y
PC1013         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            314.154   360.740 0   Y
PC1014         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            341.452   381.989 0   Y
PC1015         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.534   413.492 180 Y
PC1016         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            348.386   378.894 180 Y
PC1017         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.534   410.317 180 Y
PC1018         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            347.218   397.744 180 Y
PC1019         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.252   402.440 180 Y
PC1020         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            336.067   386.742 180 Y
PC1021         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.056   402.316 0   Y
PC1022         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            344.602   362.888 0   Y
PC1023         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.582   405.618 0   Y
PC1024         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.861   360.907 0   Y
PC1025         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            341.097   402.440 180 Y
PC1026         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            341.503   370.944 180 Y
PC1027         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.373   402.316 180 Y
PC1028         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            337.157   374.121 180 Y
PC1029         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            341.757   386.738 0   Y
PC1030         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            347.725   366.292 180 Y
PC1031         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            345.491   378.864 0   Y
PC1032         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            344.399   389.786 0   Y
PC1033         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            346.939   410.310 0   Y
PC1036         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            341.706   394.616 180 Y
PC1037         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            341.579   389.786 0   Y
PC1038         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            344.576   386.738 0   Y
PC1039         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            341.497   413.494 0   Y
PC1040         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   397.744 180 Y
PC1041         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            347.373   386.742 0   Y
PC1042         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            337.012   378.862 0   Y
PC1043         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.480   370.969 180 Y
PC1044         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.601   370.975 180 Y
PC1045         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            345.632   374.122 180 Y
PC1046         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            340.952   418.217 180 Y
PC1047         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            348.107   363.073 180 Y
PC1048         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            344.551   394.612 0   Y
PC1049         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.373   418.064 180 Y
PC1050         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.362   410.315 180 Y
PC1051         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            347.174   413.498 180 Y
PC1052         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            348.107   370.947 180 Y
PC1053         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            346.733   360.893 180 Y
PC1054         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            338.582   381.996 0   Y
PC1055         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            347.218   381.996 180 Y
PC1056         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            346.663   418.210 180 Y
PC1057         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.407   405.618 180 Y
PC1058         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            341.224   410.314 180 Y
PC1059         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.633   394.566 180 Y
PC1060         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            341.427   405.611 0   Y
PC1062         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.391   368.575 180 Y
PC1064         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.376   384.283 180 Y
PC1065         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.391   360.807 180 Y
PC1066         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.699   391.979 180 Y
PC1067         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.431   400.037 180 Y
PC1068         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.811   376.493 180 Y
PC1069         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.289   415.778 180 Y
PC1070         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.289   407.904 180 Y
PC1078         C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            450.182   300.712 270 Y
PC1080         C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            449.419   302.554 180 Y
PC1086         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        440.309   234.036 180 Y
PC1087         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        440.436   231.775 180 Y
PC1089         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        440.309   242.418 180 Y
PC1090         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        440.436   240.157 180 Y
PC1094         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   218.166 180 Y
PC1097         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.582   213.467 0   Y
PC1108         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        440.309   225.654 180 Y
PC1109         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        440.436   223.393 180 Y
PC1111         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        440.309   259.182 180 Y
PC1112         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        440.436   256.946 180 Y
PC1130         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        440.309   250.800 180 Y
PC1131         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        440.436   248.539 180 Y
PC1154         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.963   260.729 0   Y
PC1155         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            345.186   260.729 0   Y
PC1156         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            343.027   241.788 180 Y
PC1157         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.207   226.044 180 Y
PC1158         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            339.907   229.249 180 Y
PC1159         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            341.628   226.024 180 Y
PC1160         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.373   225.913 180 Y
PC1161         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   213.467 180 Y
PC1162         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            313.182   257.409 0   Y
PC1163         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            317.373   213.467 180 Y
PC1164         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.153   213.467 180 Y
PC1165         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            313.182   252.837 0   Y
PC1166         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            320.929   225.935 180 Y
PC1167         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            344.944   226.025 0   Y
PC1168         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.153   218.166 0   Y
PC1169         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.582   233.914 0   Y
PC1170         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            316.738   229.215 180 Y
PC1171         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            346.710   268.734 180 Y
PC1172         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            339.471   249.426 0   Y
PC1173         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            340.106   241.808 0   Y
PC1174         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            339.090   245.237 0   Y
PC1175         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.373   241.661 180 Y
PC1176         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            336.169   245.237 180 Y
PC1177         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            341.884   260.729 0   Y
PC1178         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            313.182   244.963 0   Y
PC1179         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            336.540   237.135 180 Y
PC1180         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            345.948   237.111 180 Y
PC1181         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            339.407   237.106 0   Y
PC1182         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.056   218.039 0   Y
PC1183         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.373   218.039 180 Y
PC1184         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            321.056   260.711 180 Y
PC1185         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            344.424   265.305 180 Y
PC1186         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.056   241.661 0   Y
PC1187         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            345.186   257.554 0   Y
PC1188         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            317.373   233.787 180 Y
PC1189         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            339.344   257.558 180 Y
PC1190         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.153   226.040 180 Y
PC1191         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   245.239 180 Y
PC1192         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            339.217   252.855 0   Y
PC1193         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.582   218.166 180 Y
PC1194         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            336.550   257.558 180 Y
PC1195         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            341.376   265.305 180 Y
PC1196         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            343.027   233.914 180 Y
PC1197         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            340.487   268.734 180 Y
PC1198         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            346.583   271.020 180 Y
PC1199         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            347.218   245.239 180 Y
PC1200         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            347.269   239.564 180 Y
PC1201         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            321.056   221.341 0   Y
PC1202         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            316.738   249.557 180 Y
PC1203         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            343.281   271.020 180 Y
PC1204         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            313.182   265.283 0   Y
PC1205         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            337.439   268.734 180 Y
PC1206         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            340.360   271.020 180 Y
PC1207         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            337.312   271.016 0   Y
PC1208         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            337.101   229.248 180 Y
PC1209         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            342.392   249.426 0   Y
PC1210         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            338.328   265.305 180 Y
PC1211         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   237.089 180 Y
PC1212         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            347.472   265.305 180 Y
PC1213         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.346   265.318 0   Y
PC1214         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   221.341 180 Y
PC1215         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.056   233.787 0   Y
PC1216         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            313.182   260.711 0   Y
PC1217         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            337.058   241.806 0   Y
PC1218         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            336.423   249.430 180 Y
PC1219         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            336.296   252.855 0   Y
PC1220         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            342.265   257.554 0   Y
PC1221         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            343.027   252.837 180 Y
PC1222         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            342.900   231.521 180 Y
PC1223         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            317.373   221.341 180 Y
PC1224         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.137   241.810 180 Y
PC1225         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.645   224.155 180 Y
PC1228         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.645   263.017 180 Y
PC1229         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.264   268.732 180 Y
PC1230         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.026   256.161 180 Y
PC1231         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.518   215.773 180 Y
PC1232         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.026   247.271 180 Y
PC1233         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.467   231.587 180 Y
PC1241         C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            252.349   381.254 180 Y
PC1244         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        247.182   358.162 270 Y
PC1245         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        249.374   358.235 270 Y
PC1256         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        255.585   358.178 270 Y
PC1257         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        257.782   357.236 270 Y
PC1261         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            242.072   343.294 0   Y
PC1268         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            251.333   343.154 0   Y
PC1269         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            256.165   343.002 180 Y
PC1275         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            248.285   343.154 180 Y
PC1277         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            324.102   310.896 270 Y
PC1282         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            322.455   320.802 90  Y
PC1285         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            323.725   320.802 90  Y
PC1287         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            322.832   310.896 270 Y
PC1288         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            271.399   418.191 0   Y
PC1289         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            271.272   402.461 0   Y
PC1290         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   382.018 180 Y
PC1291         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.066   397.766 180 Y
PC1292         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.066   378.821 180 Y
PC1293         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.788   390.024 0   Y
PC1294         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   394.569 180 Y
PC1296         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            271.272   410.317 0   Y
PC1297         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   402.465 180 Y
PC1298         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.066   370.947 180 Y
PC1299         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   410.317 180 Y
PC1300         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.066   405.640 180 Y
PC1301         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            272.542   360.809 180 Y
PC1303         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.320   418.191 180 Y
PC1304         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   363.095 180 Y
PC1307         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   386.695 180 Y
PC1320         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   241.788 180 Y
PC1321         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            275.673   245.288 180 Y
PC1322         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            273.685   237.089 180 Y
PC1323         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   226.040 180 Y
PC1324         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.066   374.144 180 Y
PC1325         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            273.685   413.492 180 Y
PC1326         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            273.685   366.248 180 Y
PC1328         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            275.025   249.567 180 Y
PC1329         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            271.272   265.410 0   Y
PC1330         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.320   218.166 180 Y
PC1331         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   268.607 180 Y
PC1332         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.066   252.859 180 Y
PC1335         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            271.653   270.889 180 Y
PC1336         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            273.685   229.215 180 Y
PC1337         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.447   213.743 180 Y
PC1339         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            271.272   268.603 0   Y
PC1340         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            272.166   249.567 180 Y
PC1341         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   257.536 180 Y
PC1342         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.066   260.733 180 Y
PC1343         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            273.685   221.341 180 Y
PC1345         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   265.410 180 Y
PC1346         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            271.272   257.536 0   Y
PC1347         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            274.193   233.914 180 Y
PC1355         C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            234.636   381.254 180 Y
PC1357         C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            236.977   381.740 90  Y
PC1363         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        229.780   358.154 270 Y
PC1364         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        231.973   358.225 270 Y
PC1374         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        238.213   358.140 270 Y
PC1375         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        240.499   358.267 270 Y
PC1390         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            319.532   319.280 180 Y
PC1391         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            320.802   310.898 180 Y
PC1395         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            320.802   312.168 180 Y
PC1396         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            320.421   320.550 180 Y
PC1401         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            318.668   314.280 90  Y
PC1402         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            318.668   317.252 270 Y
PC1408         C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            447.924   320.814 180 Y
PC1409         C_C0402_DISCRETE_470PF/50V     470PF/50V                      C0402                            449.829   321.957 90  Y
PC1419         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        416.941   323.672 180 Y
PC1420         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        416.790   321.479 180 Y
PC1432         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        416.941   331.927 180 Y
PC1433         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        416.799   329.731 180 Y
PC1435         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        416.941   315.417 180 Y
PC1436         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        417.068   313.182 180 Y
PC1454         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        416.941   307.162 180 Y
PC1455         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        417.026   304.964 180 Y
PC1457         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        416.941   290.652 180 Y
PC1458         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        417.068   288.417 180 Y
PC1476         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        416.941   298.907 180 Y
PC1477         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        416.974   296.710 180 Y
PC1479         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        416.941   340.182 180 Y
PC1480         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        417.044   337.987 180 Y
PC1498         C_C1206_H75_10UF/25V           10UF/25V                       C1206_H75                        440.372   267.508 180 Y
PC1499         C_C0805_H49_10UF/16V           10UF/16V                       C0805_H49                        440.436   265.303 180 Y
PC1510         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            332.842   314.204 90  Y
PC1511         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            332.107   320.802 90  Y
PC1512         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            330.302   317.125 270 Y
PC1513         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            326.492   314.204 90  Y
PC1514         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            325.222   314.204 90  Y
PC1515         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            322.682   314.204 90  Y
PC1520         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            332.842   317.125 270 Y
PC1527         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            329.032   317.125 270 Y
PC1532         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            400.914   311.912 270 Y
PC1534         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            400.914   306.451 90  Y
PC1540         C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            400.914   320.040 270 Y
PC1543         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            320.142   317.201 270 Y
PC1549         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            334.137   320.165 0   Y
PC1550         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            331.572   314.204 90  Y
PC1552         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            334.112   317.125 270 Y
PC1554         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.412   317.201 270 Y
PC1555         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            335.382   317.125 270 Y
PC1556         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            325.222   317.125 270 Y
PC1557         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            330.302   314.204 90  Y
PC1561         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            321.412   314.280 90  Y
PC1564         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            320.142   314.280 90  Y
PC1566         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            322.682   317.125 270 Y
PC1567         C_C0603_47UF/6.3V              47UF/6.3V                      C0603                            327.762   314.204 90  Y
